electrode_1_willison_amplitude,electrode_2_willison_amplitude,electrode_3_willison_amplitude,electrode_4_willison_amplitude,electrode_5_willison_amplitude,electrode_6_willison_amplitude,electrode_7_willison_amplitude,electrode_8_willison_amplitude
13,28,63,18,22,36,15,2
16,35,53,16,22,37,9,0
12,32,58,18,27,23,5,0
36,38,70,19,20,34,10,0
30,30,77,21,23,21,6,1
24,49,72,37,21,34,19,3
19,31,63,30,18,24,18,5
20,20,61,20,15,27,0,2
63,53,65,21,26,56,21,13
31,20,76,31,38,96,32,9
56,67,64,25,37,57,29,12
49,65,73,30,38,44,23,7
0,28,25,109,63,13,1,2
4,21,39,109,59,4,2,1
20,8,30,112,61,4,0,0
24,68,37,105,51,13,4,1
12,41,31,106,66,60,14,2
75,17,20,102,66,4,0,1
39,55,31,109,55,2,0,0
16,50,33,117,45,11,2,0
21,4,35,118,72,1,0,0
60,47,19,111,65,92,35,6
89,46,104,82,32,11,4,80
96,52,113,99,38,12,9,82
89,66,128,98,33,16,19,80
94,59,106,94,44,35,49,87
92,59,119,86,41,30,28,79
75,46,106,84,33,22,30,65
86,78,121,84,36,35,31,63
83,46,109,85,28,25,22,71
0,29,47,26,26,23,28,9
3,15,25,60,32,13,20,6
2,19,36,90,14,2,3,2
21,36,16,72,57,60,36,7
1,2,4,58,36,53,39,6
12,11,9,61,39,69,60,13
11,20,14,68,40,53,39,10
14,33,19,72,32,52,26,4
9,19,12,78,28,60,32,6
2,10,16,90,23,61,25,1
3,10,9,66,29,52,34,2
2,3,15,71,36,53,57,10
9,23,21,69,21,32,12,0
0,3,50,14,4,0,0,2
13,49,75,39,41,33,25,21
10,38,73,32,32,32,25,47
6,49,80,41,3,16,21,43
4,67,91,28,26,7,17,38
7,88,98,38,14,9,17,58
9,112,99,48,27,24,21,28
17,105,104,36,9,18,15,43
5,100,86,41,21,47,37,32
4,107,116,39,6,34,17,37
7,113,112,39,7,43,22,45
12,112,111,32,27,54,12,33
15,100,115,30,20,72,24,42
15,103,92,36,8,25,13,48
19,104,104,47,19,32,21,74
8,95,102,41,27,42,25,53
6,105,107,36,10,51,20,30
11,113,90,33,18,22,10,25
12,105,100,29,16,28,19,53
7,104,93,35,8,32,22,54
13,103,119,42,7,42,19,57
10,100,102,39,10,37,27,54
23,112,96,36,29,60,57,48
20,108,99,28,18,52,53,44
16,106,101,27,27,64,48,47
31,106,105,28,29,58,53,58
22,106,100,23,11,49,38,33
41,117,110,36,30,64,52,52
35,108,107,29,16,51,61,47
23,109,98,20,22,54,41,47
21,105,107,25,26,51,49,49
48,113,124,50,40,56,70,56
47,36,116,57,33,63,78,38
40,11,100,45,19,57,74,28
34,28,88,13,24,62,77,22
34,26,73,23,23,56,70,29
35,27,88,45,10,39,44,29
45,19,108,47,28,56,63,32
41,27,114,46,26,54,68,32
37,31,109,35,15,43,57,31
52,40,115,60,40,55,63,49
20,58,82,48,23,43,49,15
15,71,81,49,21,60,58,13
7,40,63,48,12,58,63,12
26,64,71,50,27,67,66,26
8,40,69,55,20,76,60,8
9,44,65,44,22,61,61,15
16,30,69,53,37,74,68,23
9,35,64,44,28,78,77,14
